opeid,name,address,city,state,zip,number_of_defaults,number_of_loans,default_rate
21206,SAYBROOK UNIVERSITY                                              ,475 14TH STREET                    FLOOR 9        ,OAKLAND             ,CA,94612,7,139,5
21207,SAN JOAQUIN VALLEY COLLEGE                                       ,8344  WEST MINERAL KING AVENUE                    ,VISALIA             ,CA,93291,865,4569,18.9
21211,MIDWEST INSTITUTE                                                ,964 SOUTH HIGHWAY                                 ,FENTON              ,MO,63026,33,146,22.6
21232,AVEDA INSTITUTE                                                  ,400 CENTRAL AVENUE SOUTH EAST                     ,MINNEAPOLIS         ,MN,55414,34,394,8.6
21240,ORANGE ULSTER BOCES SCHOOL OF PRACTICAL NURSING                  ,4 HARRIMAN DRIVE                                  ,GOSHEN              ,NY,10924,6,49,12.2
21244,UNIVERSITY OF SPA & COSMETOLOGY ARTS                             ,2913 WEST WHITE OAKS DRIVE                        ,SPRINGFIELD         ,IL,62704,6,165,3.6
21245,FRANKLIN TECHNOLOGY CENTER                                       ,MISSOURI SOUTHERN STATE UNIVERSITY 3950 EAST NEWMA,JOPLIN              ,MO,64801,22,114,19.2
21250,CAREER ACADEMY OF BEAUTY                                         ,12471 VALLEY VIEW STREET                          ,GARDEN GROVE        ,CA,92845,11,143,7.6
21252,MARGARET H. ROLLINS SCHOOL OF NURSING AT BEEBE MEDICAL CENTER    ,424 SAVANNAH ROAD                                 ,LEWES               ,DE,19958,1,33,3
21253,NASHVILLE COLLEGE OF MEDICAL CAREERS                             ,1556 CRESTVIEW DRIVE                              ,MADISON             ,TN,37115,10,146,6.8
21255,CIRCLE IN THE SQUARE THEATRE SCHOOL                              ,1633 BROADWAY                      AT 50TH STREET ,NEW YORK            ,NY,10019,6,78,7.6
21256,MICHIGAN COLLEGE OF BEAUTY                                       ,3498 ROCHESTER ROAD                               ,TROY                ,MI,48083,18,199,9
21263,MADISON ONEIDA BOCES PRACTICAL NURSING PROGRAM                   ,4937 SPRING ROAD                                  ,VERONA              ,NY,13478,5,60,8.3
21265,ENID BEAUTY COLLEGE                                              ,3905 S. LAMESA DRIVE                              ,ENID                ,OK,73703,5,35,14.2
21274,YTI CAREER INSTITUTE                                             ,1405 WILLIAMS ROAD                                ,YORK                ,PA,17402,173,1232,14
21283,INSTITUTE FOR BUSINESS & TECHNOLOGY                              ,2400 WALSH AVENUE                                 ,SANTA CLARA         ,CA,95051,187,700,26.7
21286,ART INSTITUTE OF CINCINNATI (THE)                                ,1171 EAST KEMPER ROAD                             ,CINCINNATI          ,OH,45246,9,70,12.8
21290,TRIANGLE TECH                                                    ,222 EAST PITTSBURGH STREET         SUITE A        ,GREENSBURG          ,PA,15601,17,189,8.9
21316,PENNCO TECH                                                      ,99 ERIAL ROAD                                     ,BLACKWOOD           ,NJ,8012,74,593,12.4
21323,FORTIS INSTITUTE                                                 ,201 WILLOWBROOK BOULEVARD          SUITE 200      ,WAYNE               ,NJ,7470,106,648,16.3
21328,NATIONAL CONSERVATORY OF DRAMATIC ARTS                           ,1556 WISCONSIN AVENUE NORTHWEST                   ,WASHINGTON          ,DC,20007,6,36,16.6
21345,LA' JAMES INTERNATIONAL COLLEGE                                  ,5205 NORTH BRADY STREET                           ,DAVENPORT           ,IA,52806,6,41,14.6
21348,OLD TOWN BARBER  COLLEGE                                         ,1211 EAST DOUGLAS                                 ,WICHITA             ,KS,67211,13,53,24.5
21366,WISCONSIN LUTHERAN COLLEGE                                       ,8800 WEST BLUEMOUND ROAD                          ,MILWAUKEE           ,WI,53226,8,241,3.3
21370,ROB ROY ACADEMY                                                  ,ONE SCHOOL STREET                                 ,TAUNTON             ,MA,2780,10,47,21.2
21371,BLACK HILLS BEAUTY COLLEGE                                       ,623 SAINT JOSEPH STREET                           ,RAPID CITY          ,SD,57701,8,71,11.2
21383,PALO ALTO UNIVERSITY                                             ,1791 ARASTRADERO ROAD                             ,PALO ALTO           ,CA,94304,2,143,1.3
21395,HAWAII INSTITUTE OF HAIR DESIGN                                  ,1128 NUUANU AVENUE                 SUITE 102      ,HONOLULU            ,HI,96817,17,60,28.3
21400,RIVERSIDE COLLEGE OF HEALTH CAREERS                              ,316 MAIN STREET                                   ,NEWPORT NEWS        ,VA,23601,5,156,3.2
21404,ST. JOSEPH SCHOOL OF NURSING                                     ,5 WOODWARD AVENUE                                 ,NASHUA              ,NH,3060,3,60,5
21407,CANTON CITY SCHOOL DISTRICT ADULT CAREER & TECHNICAL EDUCATION   ,2701 COVENTRY BOULEVARD NORTHEAST                 ,CANTON              ,OH,44705,6,63,9.5
21408,MARTIN UNIVERSITY                                                ,2186 NORTH SHERMAN DRIVE                          ,INDIANAPOLIS        ,IN,46218,113,529,21.3
21415,SAVANNAH COLLEGE OF ART AND DESIGN                               ,342 BULL STREET                                   ,SAVANNAH            ,GA,31401,116,2632,4.4
21422,LEX LA RAY TECHNICAL CENTER                                      ,2323 HIGH SCHOOL DRIVE                            ,LEXINGTON           ,MO,64067,2,30,6.6
21434,SALISH KOOTENAI COLLEGE                                          ,58138 US HIGHWAY 93                               ,PABLO               ,MT,59855,38,219,17.3
21435,STERLING COLLEGE                                                 ,16 STERLING DRIVE                                 ,CRAFTSBURY COMMON   ,VT,5827,4,43,9.3
21440,BEAUTY INSTITUTE (THE)                                           ,1921 UNION BOULEVARD                              ,ALLENTOWN           ,PA,18109,9,80,11.2
21448,VET TECH INSTITUTE OF HOUSTON                                    ,4669 SOUTHWEST FREEWAY             SUITE #100     ,HOUSTON             ,TX,77027,29,259,11.1
